Instruction #	Format	Opcode	Destination	r1	r2
1	I	define	=define(  )	NA	NA
2	I	tail	=tail(  )	NA	NA
3	R	trunc	=TRUNCATE(D3)	D3	NA
4	I	tail	=tail(  )	NA	NA
5	R	trunc	=TRUNCATE(D5)	D5	NA
6	I	tail	=tail(  )	NA	NA
7	R	trunc	=TRUNCATE(D7)	D7	NA
8	R	mul	=%8 * D6	%8	D6
9	R	add	=%9 + D4	%9	D4
10	R	icmp	=IF(%4 =  TRUE FALSE)	%4	NA
11	J	br	=BRANCH(%11)	%11	%87
12	I	tail	=tail(  )	NA	NA
13	R	trunc	=TRUNCATE(D13)	D13	NA
14	R	add	=%8 + 	%8	NA
15	R	icmp	=IF(%15 = D4 TRUE FALSE)	%15	D4
16	R	icmp	=IF(%6 =  TRUE FALSE)	%6	NA
17	R	and	=%17 AND D16	%17	D16
18	R	add	=%14 + 	%14	NA
19	R	icmp	=IF(%19 = D6 TRUE FALSE)	%19	D6
20	R	and	=%18 AND D20	%18	D20
21	J	br	=BRANCH(%21)	%21	%22
22	R	add	=%10 + 	%10	NA
23	R	sub	=%23 - D8	%23	D8
24	R	zext	=ZERO_EXTEND(D24)	D24	NA
25	I	getelementptr	=getelementptr(%0 D25 )	%0	D25
26	R	bitcast	=BITCAST(D26)	D26	NA
27	I	load	=LOAD(%27)	%27	NA
28	I	tail	=tail(%28)  )	%28)	NA
29	R	sub	=%10 - D8	%10	D8
30	R	zext	=ZERO_EXTEND(D30)	D30	NA
31	I	getelementptr	=getelementptr(%0 D31 )	%0	D31
32	R	bitcast	=BITCAST(D32)	D32	NA
33	I	load	=LOAD(%33)	%33	NA
34	I	tail	=tail(%34)  )	%34)	NA
35	R	add	=%10 + 	%10	NA
36	R	sub	=%36 - D8	%36	D8
37	R	zext	=ZERO_EXTEND(D37)	D37	NA
38	I	getelementptr	=getelementptr(%0 D38 )	%0	D38
39	R	bitcast	=BITCAST(D39)	D39	NA
40	I	load	=LOAD(%40)	%40	NA
41	I	tail	=tail(%41)  )	%41)	NA
42	R	sext	=SIGN_EXTEND(D23)	D23	NA
43	I	getelementptr	=getelementptr(%0 D43 )	%0	D43
44	R	bitcast	=BITCAST(D44)	D44	NA
45	I	load	=LOAD(%45)	%45	NA
46	I	tail	=tail(%46)  )	%46)	NA
47	R	sext	=SIGN_EXTEND(D10)	D10	NA
48	R	sext	=SIGN_EXTEND(D36)	D36	NA
49	I	getelementptr	=getelementptr(%0 D49 )	%0	D49
50	R	bitcast	=BITCAST(D50)	D50	NA
51	I	load	=LOAD(%51)	%51	NA
52	I	tail	=tail(%52)  )	%52)	NA
53	R	add	=%23 + D8	%23	D8
54	R	zext	=ZERO_EXTEND(D54)	D54	NA
55	I	getelementptr	=getelementptr(%0 D55 )	%0	D55
56	R	bitcast	=BITCAST(D56)	D56	NA
57	I	load	=LOAD(%57)	%57	NA
58	I	tail	=tail(%58)  )	%58)	NA
59	R	add	=%10 + D8	%10	D8
60	R	zext	=ZERO_EXTEND(D60)	D60	NA
61	I	getelementptr	=getelementptr(%0 D61 )	%0	D61
62	R	bitcast	=BITCAST(D62)	D62	NA
63	I	load	=LOAD(%63)	%63	NA
64	I	tail	=tail(%64)  )	%64)	NA
65	R	add	=%36 + D8	%36	D8
66	R	zext	=ZERO_EXTEND(D66)	D66	NA
67	I	getelementptr	=getelementptr(%0 D67 )	%0	D67
68	R	bitcast	=BITCAST(D68)	D68	NA
69	I	load	=LOAD(%69)	%69	NA
70	I	tail	=tail(%70)  )	%70)	NA
71	I	tail	=tail(%35 %29) )	%35	%29)
72	R	fadd	=%72 + D42	%72	D42
73	R	fsub	=%73 - D59	%73	D59
74	I	tail	=tail(%65 %74) )	%65	%74)
75	R	fsub	=%75 - D71	%75	D71
76	R	fsub	=%29 - D42	%29	D42
77	I	tail	=tail(%47 %77) )	%47	%77)
78	I	tail	=tail(%53 %78) )	%53	%78)
79	R	fadd	=%79 + D59	%79	D59
80	R	fsub	=%80 - D71	%80	D71
81	I	tail	=tail(%76 %81) )	%76	%81)
82	R	fdiv	=%82 / 	%82	NA
83	I	tail	=tail(%83)  )	%83)	NA
84	I	getelementptr	=getelementptr(%1 D48 )	%1	D48
85	R	bitcast	=BITCAST(D85)	D85	NA
86	I	store	=STORE(%84 %86)	%84	%86
87	J	br	=BRANCH(%87)	%87	NA
88	J	ret	=RET()	NA	NA
89	I	}	=}(  )	NA	NA
